'a'er'ka'te 阿尔卡特
'ai'guo'zhe 爱国者
'ai'ku 爱酷
'ai'li'xin 爱立信
'ai'mei'xun 艾美讯
'ao'ding 奥丁
'ao'sheng 奥盛
'bai'sheng'da 百盛达
'bai'zhao 百兆
'bao'dian 宝典
'bao'xing 宝星
'bei'er'feng 贝尔丰
'ben'mai 奔迈
'ben'shai'xiao'ai 本色小爱
'bo'dao 波导
'bu'bu'gao 步步高
'cai'ling 彩铃
'cai'xin 彩信
'cai'yuan'dao 财源道
'ce'hua 侧滑
'chang'hong 长虹
'chang'jiang 长江
'chao'bao 超薄
'chao'chang'dai'ji 超长待机
'chong'dian 充电
'chong'dian'qi 充电器
'chu'cun'ka 储存卡
'chu'li'qi'zhu'pin 处理器主频
'chun'ping 纯平
'da'tang'tong'xin 大唐通信
'da'xian 大显
'dao'hang'shou'ji 导航手机
'de'guo'dian'xin 德国电信
'di'bi'te 迪比特
'di'san'fang'ruan'jian 第三方软件
'dong'xin 东信
'dong'zhi 东芝
'duan'xin'xi 短信息
'duo'pu'da 多普达
'duo'pu'da 多浦达
'fan'gai 翻盖
'fan'xin'ji 翻新机
'fei'li'pu 飞利浦
'fei'yang 飞洋
'fen'zu'shu'ju 分组数据
'feng'da'tong 锋达通
'feng'huo 烽火
'fo'yuan'yi'hao 佛缘一号
'fu'she'xiang'tou 副摄像头
'gang'li'tong 港利通
'gao'si'bei'er 高斯贝尔
'gu'ge 谷歌
'guo'wei 国威
'guo'xin'tong 国信通
'hai'er 海尔
'hai'xin 海信
'han'ma 悍马
'hang'huo 行货
'he'xin 和信
'hei'mei 黑莓
'heng'ji'wei'ye 恒基伟业
'heng'tai 恒泰
'heng'tian'yue 衡天越
'hong'da 宏达
'hong'gu'dian 弘谷电
'hong'wai'jie'shou 红外接收
'hua'gai 滑盖
'hua'li 华立
'hua'long 华龙
'hua'lu 华录
'hua'shuo 华硕
'hua'tang 华唐
'hua'wei 华为
'hua'xin 华芯
'ji'jia 技嘉
'jia'tong 佳通
'jia'xin 佳信
'jie'te 杰特
'jin'li 金立
'jin'peng 金鹏
'jing'ci 京瓷
'kai'fang'shi'shou'ji'cao'zuo'xi'tong 开放式手机操作系统
'kang'jia 康佳
'ke'da 科达
'ke'jian 科健
'ku'pai 酷派
'lai'dian'fang'huo'qiang 来电防火墙
'lan'te 蓝特
'lan'tian 蓝天
'lan'xing'yue 蓝星月
'lan'ya 蓝牙
'lan'ya'chuan'shu 蓝牙传输
'lan'ya'li'ti 蓝牙立体
'lan'ya'li'ti'er'ji 蓝牙立体耳机
'lang'chao 浪潮
'lang'xing 朗星
'le'hua 乐华
'le'wei 乐维
'lian'fa'ke 联发科
'lian'ke 联科
'lian'xiang 联想
'ling'ke 凌科
'ling'rui 凌锐
'ling'sheng 铃声
'long'qi 龙旗
'mei'bei'ya'xiang'yun 美贝亚祥云
'mei'teng 美腾
'mei'zu 魅族
'meng'bao 盟宝
'ming'ji 明基
'ming'ji'xi'men'zi 明基西门子
'ming'ren 名人
'ming'xing'wang 明星王
'mo'pu'da 摩普达
'mo'tuo'luo'la 摩托罗拉
'mo'xi 摩西
'nan'fang'gao'ke 南方高科
'niu'man 纽曼
'nuo'ji'ya 诺基亚
'pai'zhao 拍照
'pai'zhao'shou'ji 拍照手机
'ping'guo 苹果
'pu'lai'da 普莱达
'pu'xing 普星
'qi'ji 琦基
'qi'sheng 奇盛
'qi'xi 七喜
'qing'hua'zi'guang 清华紫光
'ri'chan 日产
'rong'ji 荣基
'sa'ji'mu 萨基姆
'sai'ban 塞班
'sai'ge 赛格
'san'he 三和
'san'ling 三菱
'san'xing 三星
'san'yang 三洋
'sang'da 桑达
'shan'guang'deng 闪光灯
'shan'zhai'shou'ji 山寨手机
'shang'wang 上网
'shang'wang'shou'ji 上网手机
'sheng'long 盛隆
'shi'pin 视频
'shi'pin'bo'fang 视频播放
'shi'pin'tong'hua 视频通话
'shou'ai 首爱
'shou'ji'pai'zhao 手机牌照
'shou'xiang 首相
'shou'xie'shu'ru 手写输入
'shou'xin 首信
'shu'yuan 数源
'shui'huo 水货
'shui'li'fang'yun'dong 水立方韵动
'si'da'kang 斯达康
'si'ma'te 思码特
'song'xia 松下
'suo'ni 索尼
'suo'ni'ai'li'xin 索尼爱立信
'tai'di'xiong 泰迪熊
'tai'xun 泰讯
'tian'ge 天歌
'tian'ma 天马
'tian'nuo'si 天诺思
'tian'shi'da 天时达
'tian'yu 天语
'tuo'pu 托普
'wan'li'da 万利达
'wei'kai 唯开
'wei'xing'ding'wei 卫星定位
'wo'da'feng 沃达丰
'xi'men'zi 西门子
'xia'hua 厦华
'xia'pu 夏普
'xia'xin 夏新
'xian'chong 线充
'xian'qi'deng 氙气灯
'xin'ji 新基
'xin'tai 鑫泰
'xin'xi'chan'ye'bu 信息产业部
'xiong'mao 熊猫
'ya'ma'ha 雅马哈
'yi'feng 易丰
'yi'he'yuan 亿和源
'yi'nuo 伊诺
'yi'shi'ya 伊势亚
'yin'yue'shou'ji 音乐手机
'ying'hua'da 英华达
'ying'huang 英皇
'ying'tai 盈泰
'you'guan 优冠
'yu'da'dian'tong 宇达电通
'yu'hua 禹华
'yuan'zhuang 原装
'yun'xing'nei'cun 运行内存
'zheng'shu 证书
'zhi'neng'cao'zuo'xi'tong 智能操作系统
'zhong'dian 中电
'zhong'guo'dian'xin 中国电信
'zhong'guo'lian'tong 中国联通
'zhong'guo'wang'tong 中国网通
'zhong'guo'yi'dong 中国移动
'zhong'heng 中恒
'zhong'tian 中天
'zhong'xing 中兴
'zhu'she'xiang'tou 主摄像头
'zi'pai'jing 自拍镜
'zu'zhuang'ji 组装机
'zuo'chong 座充
