'bai'bai 白白
'ban'deng 板凳
'ban'fu 板斧
'ban'zhu 斑竹
'ben'ming 本命
'bo'ke 博客
'cai'niao 菜鸟
'can'nian 残念
'chun'jing'shui 纯净水
'da'ren 达人
'da'xia 大虾
'dan'mei 耽美
'di'ban 地板
'fen'si 粉丝
'guan'shui 灌水
'gui'chu 鬼畜
'guo'jiang 果酱
'hao'kang 好康
'hong'sha 轰杀
'ji'lou'de 几楼的
'jiang'zi 酱紫
'jie'gui 姐贵
'jiong'dao 囧到
'ju'chang'ban 剧场版
'kong'long 恐龙
'lang'zu 狼族
'lao'da 老大
'lei'dao 雷倒
'lei'si 蕾丝
'lou'shang'de 楼上的
'lou'zhu 楼主
'lu'guo 路过
'ma'jia 马甲
'mei'mei 美眉
'mu'you 木有
'nian'xia'gong 年下攻
'nv'wang 女王
'ou'ba'sang 欧巴桑
'ou'di 偶滴
'pai'zhuan'tou 拍砖头
'pao'zhuan 抛砖
'qian'shui 潜水
'quan'ke 犬科
'ren'shen'gong'ji 人参公鸡
'ri'fan'er 日泛儿
'sao'lou 扫楼
'sha'fa 沙发
'shua'ping 刷屏
'shui'zheng'qi 水蒸气
'ti'yi'jiao 踢一脚
'tiao'jiao 调教
'ting'che'zuo'ai 停车做爱
'tong'ren 同人
'wang'dao 王道
'wo'ding 我顶
'xi'fan 稀饭
'xiao'bai 小白
'xiao'qiang 小强
'xiong'gui 兄贵
'yi'zi 椅子
'you'chi 幼齿
'you'mo 油墨
'you'shou 诱受
'yu'jie 御姐
'zheng'tai'gong 正太攻
'zhua'kuang 抓狂
'zong'gong 总攻
'zong'shou 总受
