'a'ba 阿爸
'a'can 阿灿
'a'ge 阿哥
'a'gong 阿公
'a'ma 阿妈
'a'ma 阿嫲
'a'po 阿婆
'a'sao 阿嫂
'a'shu 阿叔
'a'xian'nu 阿仙奴
'a'xie'si'ao 阿些斯奥
'a'ye 阿爷
'ai'gua 矮瓜
'ai'jiao 嗌交
'ai'xi 爱锡
'ai'xi 矮细
'ai'ye 挨夜
'ai'ye 捱夜
'an'an'chen'chen 暗暗沉沉
'an'shi 安士
'ao'ao'tu'tu 凹凹凸凸
'ba'bi 巴闭
'ba'gua 八卦
'ba'lan'di 拔兰地
'ba'lei 芭蕾
'ba'li'sheng'ri'men 巴黎圣日门
'ba'shi 巴士
'ba'si'di'ya 巴斯蒂亚
'ba'xian 巴仙
'ba'xin'wu'ding 把心唔定
'bai'bai 拜拜
'bai'lan'di 白蘭地
'bai'meng'meng 白蒙蒙
'bai'shai'shai 白晒晒
'bai'xue'xue 白雪雪
'bai'yan 百厌
'bai'zhou 白粥
'bai'zu 百足
'ban'ji 班戟
'bao'dian'hua'zhou 煲电话粥
'bao'ling 保齡
'bei'gu 北姑
'bei'ji 背脊
'bei'qi 北芪
'beng'kou'ren'ji'beng'kou'wan 崩口人忌崩口碗
'bi'ge 鼻哥
'bi'ge'long 鼻哥窿
'bi'mian 畀面
'bi'mian'zhi 畀面制
'bi'xian 碧咸
'bi'yi 闭翳
'bian'du 边度
'bian'ge 边个
'bing'lang 槟榔
'bing'mao 病猫
'bo'da'kou 擘大口
'bo'er'duo 波尔多
'bo'gu 驳骨
'bo'luo 菠萝
'bo'ming 搏命
'bo'shi 波士
'bo'tou 膊头
'bu'bu'cui 卜卜脆
'bu'dian 布甸
'bu'liu 不溜
'bu'lou 不喽
'bu'te'zhi 不特止
'ca'xie 擦鞋
'cai'pai 菜牌
'cha'chi 差池
'cha'shi 查实
'cha'su 插苏
'cha'wu'duo 差唔多
'chang'la'la 长拉拉
'chang'qi 长气
'chao'geng'tou'ji 抄更偷鸡
'chao'you'yu 炒鱿鱼
'che'da'pao 车大奅
'che'dai 车呔
'che'mao'wei 扯猫尾
'che'shan 车衫
'chi'chan 痴缠
'chi'geng 匙羹
'chi'geng'lv 匙羹褛
'chi'xian 黐线
'chi'you 豉油
'chong'liang 冲凉
'chong'wen'ji 舂瘟鸡
