'bian'ma'qi 编码器
'bo'hao'qi 拨号器
'bu'xian'chan'pin 布线产品
'cha'ka'dian'hua'ji 插卡电话机
'chu'mo'ping'dian'hua'ji 触摸屏电话机
'chuan'shu 传输
'chuan'xian'guan 穿线管
'chuan'zhen'ji 传真机
'ci'ka 磁卡
'dian'hua'bao'jing'she'bei 电话报警设备
'dian'hua'da'lu'ji 电话答录机
'dian'hua'guan'li'qi 电话管理器
'dian'hua'ji 电话机
'dian'hua'ji'fei'qi 电话计费器
'dian'hua'ji'pei'fu'jian 电话机配附件
'dian'hua'ka 电话卡
'dian'hua'ling 电话铃
'dian'hua'xian 电话线
'dian'lan'jie'xian'he 电缆接线盒
'dian'nao'jie'kou'xian 电脑接口线
'dian'shi'tian'xian 电视天线
'duan'xin'xi'tong 短信系统
'dui'jiang'ji 对讲机
'duo'gong'neng'dian'hua'ji 多功能电话机
'er'shou'tong'xin'qi'cai 二手通信器材
'er'shou'tong'xun'chan'pin 二手通讯产品
'fen'pei'qi 分配器
'fu'yong'she'bei 复用设备
'gu'ding'dian'hua 固定电话
'guang'duan'ji 光端机
'guang'fa'she'ji 光发射机
'guang'jie'shou'ji 光接收机
'guang'lan 光缆
'guang'lan'jie'tou'he 光缆接头盒
'guang'shuai'jian'qi 光衰减器
'guang'xian'bo'fen'fu'yong'qi 光纤波分复用器
'guang'xian'fang'da'qi 光纤放大器
'guang'xian'lian'jie'qi 光纤连接器
'guang'xian'shou'fa'qi 光纤收发器
'guang'xian'tiao'xian 光纤跳线
'hong'wai'xian'shi'pei'qi 红外线适配器
'ji'tuan'dian'hua 集团电话
'ji'xian'qi 集线器
'jiao'huan'ji 交换机
'jiao'huan'she'bei 交换设备
'jie'ru'she'bei 接入设备
'jie'xu'she'bei 接续设备
'ju'zhen 矩阵
'ka'bei'fen'qi 卡备份器
'ka'zuo 卡座
'ke'shi'dian'hua'ji 可视电话机
'ku'cun'tong'xin'qi'cai 库存通信器材
'ku'cun'tong'xun'chan'pin 库存通讯产品
'lai'dian'xian'shi'dian'hua'ji 来电显示电话机
'lai'dian'xian'shi'qi 来电显示器
'lan'ya'shi'pei'qi 蓝牙适配器
'li'xian'jia 理线架
'lu'yin'dian'hua'ji 录音电话机
'lu'you'qi 路由器
'mi'ni'zao'xing'dian'hua 迷你造型电话
'mo'kuai 模块
'pei'xian'jia 配线架
'pu'tong'dian'hua'ji 普通电话机
'pu'tong'ka 普通卡
'qi'che'tian'xian 汽车天线
'qi'ta'bu'xian'chan'pin 其他布线产品
'qi'ta'chuan'shu 其他传输
'qi'ta'dian'hua'ji'pei'fu'jian 其他电话机配附件
'qi'ta'dian'hua'ka 其他电话卡
'qi'ta'gu'ding'dian'hua 其他固定电话
'qi'ta'jie'xu'she'bei 其他接续设备
'qi'ta'pin'lv'yuan'jian 其他频率元件
'qi'ta'shou'ji'shi'pin 其他手机饰品
'qi'ta'tian'xian 其他天线
'qi'ta'tong'xin'xian'lan 其他通信线缆
'qi'ta'wei'fen'lei 其他未分类
'qi'ta'yi'dong'dian'hua 其他移动电话
'qi'ta'yi'dong'dian'hua'pei'fu'jian 其他移动电话配附件
'qie'huan'qi 切换器
'she'bei 设备
'sheng'xun'xi'tong 声讯系统
'shou'ji 手机
'shou'ji'an'jian 手机按键
'shou'ji'bao'hu'mo 手机保护膜
'shou'ji'chong'dian'qi 手机充电器
'shou'ji'dai 手机袋
'shou'ji'dian'chi 手机电池
'shou'ji'du'ka'qi 手机读卡器
'shou'ji'er'ji 手机耳机
'shou'ji'gua'jian 手机挂件
'shou'ji'lai'dian'shan 手机来电闪
'shou'ji'lian'jie'qi 手机连接器
'shou'ji'mian'ti'she'bei 手机免提设备
'shou'ji'mo'xing 手机模型
'shou'ji'she'xiang'tou 手机摄像头
'shou'ji'sheng 手机绳
'shou'ji'shi'pin 手机饰品
'shou'ji'shu'ju'xian 手机数据线
'shou'ji'shuang'ka'tong 手机双卡通
'shou'ji'tian'xian 手机天线
'shou'ji'tie'zhi 手机贴纸
'shou'ji'wai'ke 手机外壳
'shou'ji'xian'shi'ping 手机显示屏
'shou'ji'xin'hao'ping'bi'qi 手机信号屏蔽器
'shou'ji'zhuan'jie'tou 手机转接头
'shou'ji'zuo 手机座
'shou'yin'ji'tian'xian 收音机天线
'shui'jing'tou 水晶头
'tian'xian 天线
'tiao'xian'jia 跳线架
'tiao'zhi'jie'tiao'qi 调制解调器
'tong'xin'qi'cai 通信器材
'tong'xin'qi'cai'dai'li 通信器材代理
